Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,11,1200,1050,87750,2050,7800,27000,8000,337500,4500,4875,11250,900,1800
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,5,1900,1650,138250,3275,12400,43000,12500,540000,7200,7800,17250,1500,3000
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,167,1432700,1267950,106176250,2480125,9543600,33473000,9454000,439950000,5603200,6115125,13352250,1129250,2231400
AR102186205503815680,SECURE DEMOCRACY,EIN ID 82-3846342,US,US-Federal,8,22600,19300,1692000,37800,145000,508000,144000,6690000,85200,93375,198750,17550,34000
AR10245043189186560,MAST FOR CONGRESS,EIN ID 81-5214677,US,US-Federal,10,20900,17650,1539750,34500,132800,464000,131500,6270000,78000,85500,182250,15900,31400
AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,EIN ID 84-3231707,US,US-Federal,27,2600,2350,187500,4600,17600,60000,17500,787500,10100,11250,24750,2000,4000
AR102638173502308352,HILLARY O'CONNOR MUERI FOR OHIO,FEC ID C00722637,US,US-Federal,10,0,0,250,0,0,0,0,0,0,0,0,0,0
AR102917793053147136,ERA NAEDA SRL,,"EU, RO",EU-Parliament,9,0,0,1000,25,100,0,0,7500,0,75,0,0,0
AR103092134365626368,NEOS Rathausklub,,"AT, EU, SK",EU-Parliament,28,29200,26150,2093500,51125,194600,678000,195000,8767500,113500,124725,276000,23300,44600
AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,FEC ID C00084368,US,US-Federal,12,18100,16300,1277250,31900,120900,419000,122000,5377500,70100,77325,174000,14450,28000
AR103201123455729664,LANDRIC A. ‘LANNY’ BOSE,Registered in Texas 00084101,US,US-Federal,4,2700,2450,197250,4800,18300,62000,18500,825000,10600,11775,26250,2100,4400
AR103258779096711168,CAMPAIGN FOR AMERICAN PRINCIPLES,EIN ID 46-2413647,US,US-Federal,100,76900,69950,5454750,136775,519100,1802000,522500,23295000,302900,332250,754500,61850,121800
AR103361033678094336,SCOTT GELFAND,,US,US-Federal,8,600,500,42500,975,3800,13000,3500,172500,2200,2400,5250,450,800
AR103378007388848128,STUCK FOR CONGRESS,EIN ID 84-2263229,US,US-Federal,9,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350,800
AR103765516518162432,JUST THE FACTS MICHIGAN,Registered in Michigan 519895,US,US-Federal,14,0,0,250,0,0,0,0,0,0,0,0,0,0
AR103839115077746688,ARNOLD FOR ALABAMA,FEC ID C00705269,US,US-Federal,24,12000,10800,851250,21100,80300,276000,80500,3570000,46200,51300,116250,9300,18800
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,11,500,400,33500,825,3100,11000,3000,135000,1800,2025,4500,350,800
AR104028093638770688,FRIENDS OF RAJA FOR CONGRESS,FEC ID C00575092,US,US-Federal,10,65300,57550,4798000,112600,429700,1488000,429500,18877500,248700,271275,603000,50800,101200
AR104074891602427904,Advictory LLC,EIN ID 47-3889825,US,US-Federal,108,68700,59250,4812500,115900,438800,1529000,441500,19177500,255400,275775,612000,52350,102000
AR104129661025386496,FW Niederösterreich,,"AT, EU",EU-Parliament,13,3300,2950,232250,5800,22100,74000,22000,997500,12600,14175,31500,2500,5000
AR104356641457045504,FRIENDS OF ROBYN VINING,EIN ID 82-5193419,US,US-Federal,9,1200,950,85500,1900,7300,26000,7500,345000,4300,4725,9750,850,1800
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5500,454750,10800,41000,142000,41000,1785000,23700,25650,57000,4950,9600
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,8,15200,13550,1057750,26550,100800,350000,101500,4425000,58400,64650,145500,11950,23200
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,12909,31886200,27549700,2358820500,53884650,206971700,722376000,205255000,9573105000,121258400,132828000,286815750,24683900,48777800
AR105818510885650432,UAB BPN LT,,"BE, ES, EU, IT, LT, LV, PT, SE",EU-Parliament,48,1100,1000,82750,1975,7600,28000,7500,352500,4600,4875,10500,900,1800
AR105925713269358592,NOTABN PLUS SRL-D,,"EU, RO",EU-Parliament,1,0,50,3250,75,300,1000,500,15000,200,225,750,50,0
AR105987011042607104,AMERICAN UNITY PAC INC,FEC ID C00523589,US,US-Federal,3,7500,6750,531250,13150,50000,171000,50500,2220000,28700,32100,70500,5700,11400
AR106394036503314432,"AMERICAN KIDNEY FUND, INC.",EIN ID 23-7124261,US,US-Federal,3,1400,1200,102250,2350,9000,32000,9000,420000,5300,5775,12750,1100,2000
AR106403725949534208,JEXAN LLC,EIN ID 46-2572638,US,US-Federal,12186,12300,11100,902750,21675,83200,289000,82500,3817500,48500,53325,117000,9650,19200
AR106535323747483648,JUDE SCHRODER,,US,US-Federal,12,600,500,44500,1000,3900,14000,4000,180000,2300,2475,5250,450,1000
AR106636478817239040,PROCHOICE VOTER,FEC ID C00202804,US,US-Federal,3,300,300,24500,550,2200,8000,2000,97500,1300,1350,3000,250,600
AR106701350003277824,FRIENDS OF JIM BERNARD,EIN ID 36-4771246,US,US-Federal,5,3000,2800,228000,5450,21000,76000,20500,982500,12700,13425,29250,2450,5000
AR106804085620998144,"EXACT DRIVE, INC.",EIN ID 27-1797458,US,US-Federal,5,0,0,250,0,0,0,0,0,0,0,0,0,0
AR106878165216919552,TROY KING FOR CONGRESS,EIN ID 84-2958173,US,US-Federal,6,100,50,3750,100,300,1000,500,15000,200,225,750,50,0
AR107360507224129536,"LINCOLN STRATEGY GROUP, LLC",EIN ID 26-1658436,US,US-Federal,1,1300,1100,96250,2150,8300,29000,8000,390000,4800,5325,11250,1000,2000
AR107541926642712576,JANET BARRESI FOR CONGRESS,FEC ID C00721357,US,US-Federal,1,600,550,46750,1075,4200,15000,4000,195000,2500,2700,6000,500,1000
AR107675860902871040,BENSALEM TOWNSHIP REPUBLICAN EXECUTIVE COMMITTEE,EIN ID 76-0702737,US,US-Federal,6,5500,5000,392250,9725,37100,127000,37000,1642500,21300,23625,53250,4300,8600
AR107815705038028800,MIKE GIALLOMBARDO CAMPAIGN,EIN ID 84-1971432,US,US-Federal,1,400,300,28000,625,2400,8000,2500,112500,1400,1575,3000,300,600
AR108117864577236992,SUNNY CHAPARALA FOR CONGRESS,FEC ID C00717470,US,US-Federal,28,4100,3750,294500,7325,28000,94000,28000,1267500,16100,17925,39750,3150,6400
AR108481940364984320,BIDEN FOR PRESIDENT,FEC ID C00703975,US,US-Federal,21406,30002700,26119000,2225861500,51089575,196636400,687509000,194645500,9102015000,115280200,126217125,273150000,23336450,46109600
AR108578491229798400,"FWD.US, INC.",EIN ID 46-2223015,US,US-Federal,24,32200,28550,2401000,55875,215100,759000,213000,9870000,126800,137700,299250,25550,50200
AR108606803654213632,MURPHY FOR MINNESOTA,EIN ID 81-4353426,US,US-Federal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10877331094634496,COLORADO CITIZENS FOR ACCOUNTABLE GOVERNMENT,EIN ID 95-0500194,US,US-Federal,112,51300,44800,3762500,87600,332700,1157000,334000,14490000,193000,208875,464250,39500,78200
AR109184597014609920,JEN2020,FEC ID C00711994,US,US-Federal,83,7600,6500,567000,12700,48700,171000,48500,2257500,28700,31350,66750,5850,11600
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,US,US-Federal,49,4100,3650,308250,7100,27400,97000,27000,1260000,16200,17475,38250,3250,6600
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,US,US-Federal,308,165700,144450,12099250,282500,1072900,3727000,1077500,46702500,622000,673200,1498500,127350,251400
AR109454389680275456,NEHLS FOR CONGRESS,FEC ID C00730150,US,US-Federal,16,700,550,49500,1100,4300,15000,4000,202500,2500,2775,6000,500,1000
AR109486619114864640,AKULA SATYANARAYANA,,IN,IN-General,2,400,350,27250,675,2600,9000,2500,112500,1500,1650,3750,300,600
AR109607840271826944,LIVE ACTION,EIN ID 42-1764425,US,US-Federal,4,3600,3300,259500,6475,24600,85000,24500,1102500,14300,15750,35250,2900,5800
AR109649346835775488,DANA OUTLAW FOR CONGRESS,FEC ID C00698787,US,US-Federal,15,1600,1450,112000,2800,10600,37000,10500,457500,6100,6825,15000,1250,2400
AR109675047920074752,CINDY AXNE FOR CONGRESS,EIN ID 82-1685207,US,US-Federal,73,1900,1700,143500,3350,12900,46000,13000,600000,7600,8250,18000,1500,3000
AR109939068149694464,CENTER FORWARD,FEC ID C90012998,US,US-Federal,31,36600,32250,2677750,63100,239900,838000,240500,10755000,140600,153300,339000,28900,56200
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,US,US-Federal,1,0,0,1500,50,100,1000,0,7500,100,75,0,0,0
AR110133406829903872,HFC INC,EIN ID 84-2792814,US,US-Federal,39,177500,160500,12664500,313950,1190100,4135000,1198000,53122500,695900,761025,1722750,142600,279200
AR110277717731049472,LEAGUE OF CONSERVATION VOTERS ACTION FUND,FEC ID C00252940,US,US-Federal,10,96500,84800,7068500,165825,630300,2191000,632500,27412500,366300,395325,878250,74900,146400
AR110382858530455552,COMMITTEE TO ELECT TEDRA COBB,EIN ID 82-1958803,US,US-Federal,33,30600,27450,2198000,53650,204500,702000,205000,9240000,118200,131325,289500,23550,47200
AR110757448398143488,MATT MAYBERRY FOR CONGRESS,FEC ID C00735001,US,US-Federal,4,2800,2400,208250,4700,18000,63000,18000,840000,10600,11625,24750,2150,4200
AR110887259489697792,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,,"EU, SK",EU-Parliament,7,2300,2100,163750,4125,15700,53000,15500,712500,9000,10125,22500,1750,3600
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,US,US-Federal,28,14400,12600,1046500,24650,93600,324000,94000,4080000,54200,58875,131250,11050,21800
AR111460586084106240,DIANE FOR COLORADO CD3,FEC ID C00707638,US,US-Federal,4,2900,2400,211000,4725,18200,64000,18000,862500,10700,11700,24750,2200,4200
AR111616510576820224,FRIENDS OF GINA RAIMONDO,EIN ID 80-0517478,US,US-Federal,21,7800,7050,559250,13800,52500,180000,53000,2362500,30400,33750,75000,6050,12200
AR111703784312274944,NEVADA STATE DEMOCRATIC PARTY,FEC ID C00208991,US,US-Federal,33,0,50,3500,75,300,1000,500,15000,200,225,750,50,0
AR111802190602960896,"W.R.P.R., s.r.o.",,"EU, SK",EU-Parliament,1,300,300,23250,575,2200,8000,2000,97500,1300,1425,3000,250,600
AR111828647601504256,TRUE BLUE MEDIA LLC,EIN ID 47-5544527,US,US-Federal,2,300,250,20000,500,1900,7000,2000,82500,1100,1200,3000,250,400
AR11183819960877056,FRIENDS OF F MICHAEL HIGGINBOTHAM,EIN ID 84-3615635,US,US-Federal,4,1100,1000,77500,1925,7300,25000,7500,330000,4200,4725,10500,850,1600
AR111864106851500032,FRIENDS OF KAREN S. SMYTHE,EIN ID 82-4179853,US,US-Federal,35,2500,2150,181000,4250,16100,56000,16000,697500,9300,10125,22500,1900,3800
AR111944714797711360,NEED TO IMPEACH,FEC ID C00658526,US,US-Federal,97,38100,34400,2706500,67275,255900,875000,257000,11490000,147500,163950,367500,29500,59000
AR112004294584041472,GERRIT MORA,,US,US-Federal,1,0,50,2500,50,200,1000,0,7500,100,150,0,50,0
AR11202168061165568,THE SEMINAR NETWORK CHAMBER OF COMMERCE INC,EIN ID 45-3732750,US,US-Federal,5,1900,1700,132000,3300,12500,43000,12500,547500,7200,7950,18000,1500,2800
AR112255739149418496,MATT ROSENDALE FOR MONTANA,FEC ID C00548289,US,US-Federal,35,18800,16200,1348250,31700,120800,420000,121000,5385000,70200,76275,168750,14400,28200
AR112555630945894400,DR MANNY FOR US SENATE,EIN ID 84-1927181,US,US-Federal,67,14100,12600,981250,24625,93200,323000,94000,4117500,54000,59625,133500,11250,21400
AR112638712793268224,VOTE RAWLINGS,FEC ID C00718551,US,US-Federal,41,500,450,40250,900,3500,12000,3500,165000,2100,2250,4500,400,800
AR112672728934252544,Alternative für Deutschland (AfD) - Kreisverband Köln,,"DE, EU",EU-Parliament,8,16800,14350,1223500,28050,107800,377000,107000,5047500,63200,69300,149250,12850,25200
AR1128098930098176,PATRICK MURPHY FOR CONGRESS,FEC ID C00411991,US,US-Federal,10,5500,4800,403000,9400,35700,124000,36000,1552500,20600,22350,49500,4200,8400
AR113027046556303360,Janika Takatalo,,"EU, FI",EU-Parliament,16,1100,1000,78000,1950,7400,26000,7500,322500,4300,4725,10500,850,1600
AR113035292893511680,"YES ON E, SAN FRANCISCANS FOR THE ARTS",EIN ID 81-2822893,US,US-Federal,4,3200,2800,234250,5500,20900,73000,21000,907500,12100,13050,29250,2500,4800
AR113155139660939264,GROHMAN FOR CONGRESS,FEC ID C00676528,US,US-Federal,3,1900,1650,137500,3200,12200,42000,12000,532500,7000,7650,17250,1450,2800
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,US,US-Federal,19,2800,2450,193500,4750,18000,62000,18000,787500,10400,11400,25500,2150,4200
AR11359123346030592,PETERS FOR ILLINOIS,Registered in Illinois,US,US-Federal,10,7900,7150,587000,13950,53900,190000,53500,2437500,31400,34425,77250,6400,13000
AR1137238620504064,"MACMILLAN HOLDINGS, LLC",EIN ID 13-4047598,US,US-Federal,1,200,150,14000,325,1200,4000,1000,60000,700,825,1500,150,200
AR113835462480625664,ΠΟΝΤΑΣ ΑΠΟΣΤΟΛΟΣ,,"EU, GR",EU-Parliament,106,11900,10500,816000,20525,77700,267000,78500,3390000,44600,49575,111000,9400,17800
AR113926790665207808,SAN DIEGO COUNTY DEMOCRATIC PARTY,Registered in California 741906,US,US-Federal,3,0,0,750,25,100,0,0,0,0,0,0,0,0
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,US,US-Federal,4,4900,4250,337000,8300,31400,109000,31500,1372500,18200,19725,43500,3750,7200
AR114721806291566592,Komitet Wyborczy Kandydata na Prezydenta Rzeczypospolitej Polskiej Małgorzaty Kidawy-Błońskiej,,"EU, PL",EU-Parliament,1,23300,20750,1719250,40575,156600,537000,155000,6997500,90100,99975,222750,18350,37400
AR114793686864232448,Progresívne Slovensko,,"AT, BG, CZ, DE, DK, EE, ES, EU, GB, HR, HU, IT, LT, LV, NL, PL, PT, RO, SE, SK",EU-Parliament,2631,255300,231850,18190250,453475,1724200,5893000,1732000,77430000,995400,1105875,2460000,198750,396600
AR11501097784967168,FRIENDS OF ROB ASTORINO,EIN ID 20-2782196,US,US-Federal,3,300,250,23250,525,2000,7000,2000,97500,1200,1275,3000,250,400
AR115333890670854144,A STRONGER MICHIGAN,EIN ID 82-4509198,US,US-Federal,30,17100,14900,1255000,29175,110800,385000,111500,4822500,64200,69600,154500,13150,26000
AR115381994304569344,MAJORITY FORWARD,EIN ID 83-3690373,US,US-Federal,14,67400,58600,5061250,114650,441200,1552000,436500,20475000,260200,283575,608250,53050,102600
AR115663469281280000,ELECT NATHAN BROWN FOR UTAH HOUSE,EIN ID 84-4873126,US,US-Federal,6,700,650,54250,1275,4900,17000,5000,225000,2900,3150,6750,600,1200
AR115883234167881728,COALITION FOR GREEN CAPITAL ACTION FUND,EIN ID 27-2124806,US,US-Federal,2,0,0,0,0,0,0,0,0,0,0,0,0,0
AR116025139887341568,Partidul Pro Romania,,"EU, RO",EU-Parliament,225,33100,29650,2318500,57975,220100,764000,221500,9660000,127600,141150,318750,26000,50800
AR116128425260875776,SPD Ortsverein Hürth,,"DE, EU",EU-Parliament,3,1100,950,83750,1875,7300,25000,7000,345000,4300,4650,9750,850,1800
AR116209789121331200,ANNA KAPLAN FOR NY STATE SENATE,Registered in New York A22370,US,US-Federal,1,2600,2200,193250,4350,16700,58000,16500,787500,9800,10725,22500,2000,4000
AR116516759023910912,GEORGIA LIFE ALLIANCE COMMITTEE INC,EIN ID 47-2788469,US,US-Federal,28,7600,7000,547250,13725,52300,177000,52500,2370000,30200,33675,74250,5900,12000
AR116668422909067264,CALLIE4CU,EIN ID 84-2918206,US,US-Federal,4,0,50,2250,50,200,1000,0,7500,100,150,0,0,0
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,FEC ID C00652297,US,US-Federal,43,13100,11400,951250,22250,84400,293000,85000,3682500,49000,53025,117750,10050,19800
AR116769577978822656,SEIU LOCAL 2015,EIN ID 47-4164197,US,US-Federal,4,43400,38700,3012000,75725,286600,987000,289000,12660000,165100,183450,408750,34350,65400
AR116834449164861440,COMMITTEE TO ELECT KIM MANGONE FOR CONGRESS,FEC ID C00709550,US,US-Federal,3,500,450,37750,900,3500,13000,3500,165000,2100,2250,5250,400,800
AR117004667308736512,BOATMAN FOR CONGRESS,FEC ID C00711440,US,US-Federal,9,400,400,31750,800,3000,10000,3000,135000,1700,1950,4500,350,600
AR117013669560188928,SUE SGAMBELLURI FOR CITY COUNCIL,EIN ID 83-3048234,US,US-Federal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AR117165264725868544,LINDSAY TAUSCH,,US,US-Federal,1,0,50,2750,75,200,1000,0,15000,100,150,0,50,0
AR117183337948250112,"UNICORN WEALTH, LLC",EIN ID 84-2045992,US,US-Federal,354,131800,114650,9721750,224200,861600,2990000,854000,40005000,503300,553575,1193250,101550,201000
AR117224775792721920,JAVIER FOR ARIZONA,EIN ID 84-3907399,US,US-Federal,15,300,300,25500,575,2200,8000,2000,105000,1300,1425,3000,250,600
AR11739623088717824,POOLHOUSE AGENCY LLC,EIN ID 46-3943724,US,US-Federal,8,200,150,13250,325,1200,4000,1000,52500,700,825,1500,150,200
AR117512847839199232,ROSS SPANO FOR CONGRESS,FEC ID C00676668,US,US-Federal,18,27600,24000,2072500,46975,180800,636000,179000,8392500,106700,116175,249750,21700,42000
AR117614002908954624,COMMITTEE TO ELECT DONNA LASINSKI,EIN ID 47-5141880,US,US-Federal,1,1400,1250,105000,2450,9300,32000,9500,405000,5400,5850,12750,1100,2200
AR117634068996161536,VOLUNTEERS FOR KELLY MOLLER,EIN ID 82-4668696,US,US-Federal,5,700,600,53000,1200,4600,16000,4500,217500,2700,2925,6000,550,1000
AR117739278515044352,BARCELONA PEL CANVI - CIUTADANS,,"ES, EU, FR",EU-Parliament,19,3100,2700,212500,5325,20200,70000,20500,877500,11700,12975,29250,2350,4600
AR117808960064454656,TROY BRIMAGE FOR STATE REP,EIN ID 84-3707240,US,US-Federal,20,3600,3300,258250,6425,24500,83000,24500,1110000,14100,15750,34500,2800,5600
AR117976635587690496,"Freiheitliche Partei Österreichs (FPÖ), Landespartei Steiermark",,"AT, EU",EU-Parliament,67,9300,8450,667500,16525,62800,216000,63000,2812500,36100,40275,90000,7250,14600
AR118173585608015872,Aalborg Venstrevælger forening,,"DK, EU",EU-Parliament,40,2300,2100,163000,4100,15500,54000,15500,675000,9000,9900,22500,1850,3600
AR118215985525161984,"TEXAS LAW SHIELD, LLC",EIN ID 45-4810752,US,US-Federal,31,4100,3550,289500,6975,26400,92000,26500,1147500,15300,16725,36750,3150,6000
AR118482960692281344,MOWERS FOR CONGRESS,FEC ID C00734491,US,US-Federal,34,4900,4300,358500,8450,32400,111000,32000,1492500,18800,20775,45000,3750,7400
AR118541234808553472,GEORGE W. HINDMAN FOR CONGRESS,FEC ID C00724617,US,US-Federal,36,4600,4200,331750,8225,31400,106000,31500,1417500,18000,20175,44250,3550,7200
AR118595523195174912,ROHRABACHER FOR CONGRESS,FEC ID C00224691,US,US-Federal,2,72500,63550,5304000,124250,472200,1641000,474000,20512500,273900,296175,657750,55900,109800
AR118619506292555776,TAKEACTION MINNESOTA,EIN ID 20-3338691,US,US-Federal,18,400,350,31500,700,2700,9000,2500,120000,1600,1725,3750,300,600
AR118759694025097216,CARLUCCI FOR CONGRESS,FEC ID C00723791,US,US-Federal,5,1900,1650,141000,3225,12500,44000,12500,570000,7300,8025,17250,1500,2800
AR119011138590474240,WICKER FOR SENATE,FEC ID C00443218,US,US-Federal,291,21800,18800,1543250,36775,139500,485000,140000,6060000,80900,87600,194250,16550,32400
AR119350612805550080,MATT COX FOR NC SENATE,EIN ID 83-3855386,US,US-Federal,2,100,100,9500,250,900,3000,1000,37500,500,600,1500,100,200
AR119459052139839488,MONEY GAME VENTURES LLC,EIN ID 82-4012570,US,US-Federal,9,500,400,33750,800,3100,11000,3000,135000,1800,1950,4500,350,800
AR119554297334595584,CAM CAVASSO 4 CONGRESS,FEC ID C00680876,US,US-Federal,13,3000,2650,221000,5125,19500,68000,19500,847500,11300,12225,27000,2350,4600
AR119915349465366528,STEVE ALM FOR PROSECUTOR,EIN ID 84-3490954,US,US-Federal,1,0,0,1250,25,100,0,0,7500,100,75,0,0,0
AR120137038497316864,BOB CASEY FOR SENATE INC,FEC ID C00431056,US,US-Federal,88,427900,371700,31171500,726975,2760300,9581000,2772500,120300000,1599500,1731825,3861000,328800,650800
AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,FEC ID C00637371,US,US-Federal,88,2000,1700,140250,3350,12700,44000,13000,555000,7400,7950,18000,1550,3000
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,FEC ID C00575209,US,US-Federal,52,77500,67300,5685750,131675,503600,1757000,502000,22762500,294100,320025,701250,59950,118400
AR120710983567015936,Marinda Kimmel for House,EIN ID 82-1523341,US,US-Federal,4,400,400,32000,750,2800,10000,3000,120000,1600,1800,3750,350,600
AR120759774395498496,SCOTT FITZGERALD FOR CONGRESS,EIN ID 84-2948409,US,US-Federal,1,100,150,10250,250,1000,3000,1000,45000,600,600,1500,100,200
AR12080952729665536,COMMITTEE TO ELECT JOHN DAMOOSE FOR STATE REPRESENTATIVE,Registered in Michigan 519587,US,US-Federal,11,4100,3650,311750,7100,27400,97000,27000,1267500,16200,17550,37500,3250,6400
AR120814887415840768,THOM TILLIS COMMITTEE,EIN ID 46-2864060,US,US-Federal,8,4700,4150,325250,8150,30900,107000,31000,1342500,17800,19725,44250,3650,7000
AR120847323008860160,CONSERVATIVE BUZZ LLC,EIN ID 45-4445561,US,US-Federal,5084,5494300,4889100,393079500,9562575,36386200,126394000,36490500,1617397500,21156500,23223600,51637500,4322300,8423400
AR12094627905536000,AMMAR CAMPA FOR CONGRESS,FEC ID C00635888,US,US-Federal,31,49100,43150,3551250,84375,321800,1110000,322000,14310000,186300,203775,454500,38100,75800
AR121262938404159488,GREAT AMERICA PAC,FEC ID C00608489,US,US-Federal,380,14200,12550,991250,24525,93000,323000,93500,4042500,53800,59025,132000,11050,21400
AR121273177606193152,FRIENDS OF MATT PINNELL 2018,EIN ID 82-0992206,US,US-Federal,6,1000,850,68250,1650,6300,22000,6500,277500,3600,3975,9000,750,1400
AR121357702562578432,HOMEOWNERS AND TENANTS UNITED,EIN ID 84-1894569,US,US-Federal,196,119900,105400,8947000,206200,795200,2801000,786000,36945000,469000,509775,1115250,94500,189200
AR121754007784914944,TEXANS FOR JIM GRIFFIN,EIN ID 84-3889700,US,US-Federal,13,6600,6000,469000,11725,44600,150000,45000,2017500,25600,28650,63000,5050,10200
AR122089290111909888,RECLAIMTHEAMERICANDREAM ORG,EIN ID 81-2663346,US,US-Federal,45,13900,12450,1023250,24375,93400,326000,93000,4267500,54700,59850,132000,11000,21800
AR122166943120621568,LOIS FRANKEL FOR CONGRESS,FEC ID C00494856,US,US-Federal,3,1300,1050,91750,2075,8000,28000,8000,375000,4700,5100,11250,950,1800
AR122316957738336256,ESMERALDA SORIA FOR CONGRESS,FEC ID C00711911,US,US-Federal,2,1700,1550,121250,3000,11400,39000,11500,502500,6500,7275,15750,1300,2600
AR1226024184446976,CHRIS WARD FOR ASSEMBLY 2020,Registered in California,US,US-Federal,25,22400,20050,1607500,39200,149600,509000,149500,6795000,86000,96075,210750,17150,34200
AR122695395896721408,ITALIA VIVA,,"EU, IT",EU-Parliament,22,10900,9450,818500,18500,71200,250000,70500,3307500,41900,45750,97500,8600,16600
AR12273917020340224,STAUSH GRUSZYNSKI,,US,US-Federal,4,100,100,9000,225,800,3000,1000,37500,500,525,1500,100,200
AR122780539328397312,Ioannis Vardakastanis,,"EU, GR",EU-Parliament,1,300,250,20500,500,1900,7000,2000,82500,1100,1275,3000,250,400
